ISO Alpha-2 code,ISO Alpha-3 code,Population
AW,ABW,107195
AF,AFG,39835428
AO,AGO,33933611
AL,ALB,2811666
AD,AND,77354
AE,ARE,9991083
AR,ARG,45808747
AM,ARM,2968128
AS,ASM,55103
AG,ATG,98728
AU,AUS,25739256
AT,AUT,8956279
AZ,AZE,10145212
BI,BDI,12255429
BE,BEL,11587882
BJ,BEN,12451031
BF,BFA,21497097
BD,BGD,166303494
BG,BGR,6899125
BH,BHR,1748295
BS,BHS,396914
BA,BIH,3263459
BY,BLR,9340314
BZ,BLZ,404915
BM,BMU,63867
BO,BOL,11832936
BR,BRA,213993441
BB,BRB,287708
BN,BRN,441532
BT,BTN,779900
BW,BWA,2397240
CF,CAF,4919987
CA,CAN,38246108
CH,CHE,8697723
CL,CHL,19212362
CN,CHN,1412360000
CI,CIV,27053629
CM,CMR,27224262
CD,COD,92377986
CG,COG,5657017
CO,COL,51265841
KM,COM,888456
CV,CPV,561901
CR,CRI,5139053
CU,CUB,11317498
CW,CUW,152369
KY,CYM,66498
CY,CYP,1215588
CZ,CZE,10703446
DE,DEU,83129285
DJ,DJI,1002197
DM,DMA,72172
DK,DNK,5856733
DO,DOM,10953714
DZ,DZA,44616626
EC,ECU,17888474
EG,EGY,104258327
ER,ERI,NaN
ES,ESP,47326687
EE,EST,1329254
ET,ETH,117876226
FI,FIN,5541696
FJ,FJI,902899
FR,FRA,67499343
FO,FRO,49053
FM,FSM,116255
GA,GAB,2278829
GB,GBR,67326569
GE,GEO,3708610
GH,GHA,31732128
GI,GIB,33691
GN,GIN,13497237
GM,GMB,2486937
GW,GNB,2015490
GQ,GNQ,1449891
GR,GRC,10664568
GD,GRD,113015
GL,GRL,56653
GT,GTM,17109746
GU,GUM,170184
GY,GUY,790329
HK,HKG,7413100
HN,HND,10062994
HR,HRV,3899000
HT,HTI,11541683
HU,HUN,9709886
ID,IDN,276361788
IM,IMN,85410
IN,IND,1393409033
IE,IRL,5028230
IR,IRN,85028760
IQ,IRQ,41179351
IS,ISL,372295
IL,ISR,9364000
IT,ITA,59066225
JM,JAM,2973462
JO,JOR,10269022
JP,JPN,125681593
KZ,KAZ,19002586
KE,KEN,54985702
KG,KGZ,6694200
KH,KHM,16946446
KI,KIR,121388
KN,KNA,53546
KR,KOR,51744876
KW,KWT,4328553
LA,LAO,7379358
LB,LBN,6769151
LR,LBR,5180208
LY,LBY,6958538
LC,LCA,184401
LI,LIE,38254
LK,LKA,22156000
LS,LSO,2159067
LT,LTU,2795321
LU,LUX,639070
LV,LVA,1883162
MO,MAC,658391
MF,MAF,39239
MA,MAR,37344787
MC,MCO,39520
MD,MDA,2573928
MG,MDG,28427333
MV,MDV,543620
MX,MEX,130262220
MH,MHL,59618
MK,MKD,2065092
ML,MLI,20855724
MT,MLT,516869
MM,MMR,54806014
ME,MNE,620173
MN,MNG,3329282
MP,MNP,57910
MZ,MOZ,32163045
MR,MRT,4775110
MU,MUS,1266060
MW,MWI,19647681
MY,MYS,32776195
NA,NAM,2587344
NC,NCL,272620
NE,NER,25130810
NG,NGA,211400704
NI,NIC,6702379
NL,NLD,17533405
NO,NOR,5408320
NP,NPL,29674920
NR,NRU,10873
NZ,NZL,5122600
OM,OMN,5223376
PK,PAK,225199929
PA,PAN,4381583
PE,PER,33359416
PH,PHL,111046910
PW,PLW,18174
PG,PNG,9119005
PL,POL,37781024
PR,PRI,3263584
KP,PRK,25887045
PT,PRT,10299423
PY,PRY,7219641
PS,PSE,4922749
PF,PYF,282534
QA,QAT,2930524
RO,ROU,19115146
RU,RUS,143446060
RW,RWA,13276517
SA,SAU,35340680
SD,SDN,44909351
SN,SEN,17196308
SG,SGP,5453566
SB,SLB,703995
SL,SLE,8141343
SV,SLV,6518500
SM,SMR,34010
SO,SOM,16359500
RS,SRB,6844078
SS,SSD,11381377
ST,STP,223364
SR,SUR,591798
SK,SVK,5447247
SI,SVN,2107007
SE,SWE,10415811
SZ,SWZ,1172369
SX,SXM,42846
SC,SYC,99202
SY,SYR,18275704
TC,TCA,39226
TD,TCD,16914985
TG,TGO,8478242
TH,THA,69950844
TJ,TJK,9749625
TM,TKM,6117933
TL,TLS,1343875
TO,TON,106759
TT,TTO,1403374
TN,TUN,11935764
TR,TUR,85042736
TV,TUV,11925
TZ,TZA,61498438
UG,UGA,47123533
UA,UKR,43814581
UY,URY,3485152
US,USA,331893745
UZ,UZB,34915100
VC,VCT,111269
VE,VEN,28704947
VG,VGB,30423
VI,VIR,105870
VN,VNM,98168829
VU,VUT,314464
WS,WSM,200144
YE,YEM,30490639
ZA,ZAF,60041996
ZM,ZMB,18920657
ZW,ZWE,15092171